Dim,Noise Std,Problem ID,Problem Name,Function Class,Baseline,LLaMEA Mean Res,LLaMEA Med Res,Baseline Mean Res,Baseline Med Res,Mann-Whitney p-val,Significant (α=0.05),A12 Effect Size,Effect Magnitude,Outcome
3,0.05,f11,Discus (f11),High Conditioning,CMAES,0.00033752079000000005,0.00031250285,4.58687159997,0.0,0.021226421107744024,Yes,0.8,Large,CMAES Wins (Sig)
3,0.05,f11,Discus (f11),High Conditioning,DE,0.00033752079000000005,0.00031250285,0.03261992337,0.0228072852,0.0003298385207779935,Yes,0.020000000000000018,Large,LLaMEA Wins (Sig)
3,0.05,f11,Discus (f11),High Conditioning,LLaMEA (qwen2.5-coder-14b-q4_k_m),0.00033752079000000005,0.00031250285,3775605.6819550917,0.0013245723499999999,0.0028272720911168077,Yes,0.1,Large,LLaMEA Wins (Sig)
3,0.05,f11,Discus (f11),High Conditioning,LLaMEA (qwen2.5-coder-7b-q4_k_m),0.00033752079000000005,0.00031250285,1092749.9924014423,1801.409726428,1.2009441084406216e-05,Yes,0.0,Large,LLaMEA Wins (Sig)
3,0.05,f11,Discus (f11),High Conditioning,PSO,0.00033752079000000005,0.00031250285,5.69635619181,0.0333846496,1.0,No,0.5,Negligible,Exact Tie
3,0.05,f15,Rastrigin (f15),Multi-Modal (Global Struct),CMAES,1.9913981076399998,1.9901226525,3.31951719009,3.0166116273,0.18587673236587599,No,0.31999999999999995,Medium,LLaMEA Ahead (Non-Sig)
3,0.05,f15,Rastrigin (f15),Multi-Modal (Global Struct),DE,1.9913981076399998,1.9901226525,5.75647883095,6.4024660974,0.011329696684474666,Yes,0.15999999999999998,Large,LLaMEA Wins (Sig)
3,0.05,f15,Rastrigin (f15),Multi-Modal (Global Struct),LLaMEA (qwen2.5-coder-14b-q4_k_m),1.9913981076399998,1.9901226525,193.46880493085,0.7020398691999999,0.9097218891455553,No,0.4800000000000001,Negligible,LLaMEA Ahead (Non-Sig)
3,0.05,f15,Rastrigin (f15),Multi-Modal (Global Struct),LLaMEA (qwen2.5-coder-7b-q4_k_m),1.9913981076399998,1.9901226525,3.515247220757894,1.991628045,0.32389386987240143,No,0.3842105263157895,Small,LLaMEA Ahead (Non-Sig)
3,0.05,f15,Rastrigin (f15),Multi-Modal (Global Struct),PSO,1.9913981076399998,1.9901226525,2.6730191174,1.49354700115,0.7910295772981756,No,0.54,Negligible,PSO Ahead (Non-Sig)
3,0.05,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),CMAES,0.01349273822,0.0160287174,1.12024696651,1.0881229075,0.0028272720911168077,Yes,0.1,Large,LLaMEA Wins (Sig)
3,0.05,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),DE,0.01349273822,0.0160287174,0.23334719058999998,0.00087117445,0.6775849579524755,No,0.5599999999999999,Negligible,DE Ahead (Non-Sig)
3,0.05,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),LLaMEA (qwen2.5-coder-14b-q4_k_m),0.01349273822,0.0160287174,0.15214616489000002,0.00228510795,0.5707503880581739,No,0.5800000000000001,Small,LLaMEA (qwen2.5-coder-14b-q4_k_m) Ahead (Non-Sig)
3,0.05,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),LLaMEA (qwen2.5-coder-7b-q4_k_m),0.01349273822,0.0160287174,1.886200737575,0.0006305878,0.28109789200741464,No,0.625,Small,LLaMEA (qwen2.5-coder-7b-q4_k_m) Ahead (Non-Sig)
3,0.05,f21,Gallagher 101 Peaks (f21),Multi-Modal (Weak Struct),PSO,0.01349273822,0.0160287174,0.36727776615,0.0,0.4667529882683453,No,0.6,Small,PSO Ahead (Non-Sig)
3,0.05,f8,Rosenbrock (f8),Low Conditioning,CMAES,4.5e-10,3e-10,0.43736352176000004,0.0,0.9683779536353727,No,0.51,Negligible,CMAES Ahead (Non-Sig)
3,0.05,f8,Rosenbrock (f8),Low Conditioning,DE,4.5e-10,3e-10,0.22191319545,0.1258451807,0.00017761066068896377,Yes,0.0,Large,LLaMEA Wins (Sig)
3,0.05,f8,Rosenbrock (f8),Low Conditioning,LLaMEA (qwen2.5-coder-14b-q4_k_m),4.5e-10,3e-10,58.76490919655,12.2094102641,0.00017761066068896377,Yes,0.0,Large,LLaMEA Wins (Sig)
3,0.05,f8,Rosenbrock (f8),Low Conditioning,LLaMEA (qwen2.5-coder-7b-q4_k_m),4.5e-10,3e-10,114.0436534482375,0.3868568959,0.011201986693750889,Yes,0.19687500000000002,Large,LLaMEA Wins (Sig)
3,0.05,f8,Rosenbrock (f8),Low Conditioning,PSO,4.5e-10,3e-10,0.9038978718399999,0.0029986080000000003,0.1584864424178698,No,0.30999999999999994,Medium,LLaMEA Ahead (Non-Sig)
